,verb,Ami,Tumi,Tui,Apni,Shey,,,
177,ঘুষানো,ঘুষাইনি,ঘুষাওনি,ঘুষাসনি,ঘুষাননি,ঘুষায়নি,,,
178,ঘুরা,ঘুরিনি,ঘোরোনি,ঘুরিসনি,ঘোরেননি,ঘোরেনি,,,
179,ঘুরানো,ঘুরাইনি,ঘুরাওনি,ঘুরাসনি,ঘুরাননি,ঘুরায়নি,,,
180,ঘেরা,ঘেরিনি,ঘেরোনি,ঘেরিসনি,ঘেরেননি,ঘেরেনি,,,
,ঘেরানো,ঘেরাইনি,ঘেরাওনি,ঘেরাসনি,ঘেরাননি,ঘেরায়নি,,,
181,ঘেষা,ঘেষিনি,ঘেষোনি,ঘেষিসনি,ঘেষেননি,ঘেষেনি,,,
,ঘেষানো,ঘেষাইনি,ঘেষাওনি,ঘেষাসনি,ঘেষাননি,ঘেষায়নি,,,
182,ঘ্যাঙানো,ঘ্যাঙাইনি,ঘ্যাঙাওনি,ঘ্যাঙাসনি,ঘ্যাঙাননি,ঘ্যাঙায়নি,,,
183,চটকানো,চটকাইনি,চটকাওনি,চটকাসনি,চটকাননি,চটকায়নি,,,
184,চটা,চটিনি,চটোনি,চটিসনি,চটেননি,চটেনি,,,
,চটানো,চটাইনি,চটাওনি,চটাসনি,চটাননি,চটায়নি,,,
185,চড়া,চড়িনি,চড়োনি,চড়িসনি,চড়েননি,চড়েনি,,,
186,চড়ানো,চড়াইনি,চড়াওনি,চড়াসনি,চড়াননি,চড়ায়নি,,,
187,চমকানো,চমকাইনি,চমকাওনি,চমকাসনি,চমকাননি,চমকায়নি,,,
188,চরা,চরিনি,চরোনি,চরিসনি,চরেননি,চরেনি,,,
189,চরানো,চরাইনি,চরাওনি,চরাসনি,চরাননি,চরায়নি,,,
190,চলানো,চলাইনি,চলাওনি,চলাসনি,চলাননি,চলায়নি,,,
191,চষা,চষিনি,চষোনি,চষিসনি,চষেননি,চষেনি,,,
192,চষানো,চষাইনি,চষাওনি,চষাসনি,চষাননি,চষায়নি,,,
193,চাঁছা,চাঁছিনি,চাঁছোনি,চাঁছিসনি,চাঁছেননি,চাঁছেনি,,,
,চাঁছানো,চাঁছাইনি,চাঁছাওনি,চাঁছাসনি,চাঁছাননি,চাঁছায়নি,,,
194,চাওয়া,চাইনি,চাওনি,চাসনি,চাননি,চায়নি,,,
,চাওয়ানো,চাওয়াইনি,চাওয়াওনি,চাওয়াসনি,চাওয়াননি,চাওয়ায়নি,,,
195,চাটা,চাটিনি,চাটোনি,চাটিসনি,চাটেননি,চাটেনি,,,
196,চাটানো,চাটাইনি,চাটাওনি,চাটাসনি,চাটাননি,চাটায়নি,,,
197,চাপা,চাপিনি,চাপোনি,চাপিসনি,চাপেননি,চাপেনি,,,
,চাপানো,চাপাইনি,চাপাওনি,চাপাসনি,চাপাননি,চাপায়নি,,,
198,চাপড়া,চাপড়িনি,চাপড়োনি,চাপড়িসনি,চাপড়েননি,চাপড়েনি,,,
199,চাপড়ানো,চাপড়াইনি,চাপড়াওনি,চাপড়াসনি,চাপড়াননি,চাপড়ায়নি,,,
200,চাবকা,চাবকিনি,চাবকোনি,চাবকিসনি,চাবকেননি,চাবকেনি,,,
201,চাবকানো,চাবকাইনি,চাবকাওনি,চাবকাসনি,চাবকাননি,চাবকায়নি,,,
202,চালানো,চালাইনি,চালাওনি,চালাসনি,চালাননি,চালায়নি,,,
203,চাহা,,,,,,,,
204,চিবা,,,,,,,,
205,চিবানো,চিবাইনি,চিবাওনি,চিবাসনি,চিবাননি,চিবায়নি,,,
206,চুদা,,,,,,,,
207,চুদানো,,,,,,,,
208,চুবা,চুবিনি,চুবোনি,চুবিসনি,চুবেননি,চুবেনি,,,
209,চুবানো,চুবাইনি,চুবাওনি,চুবাসনি,চুবাননি,চুবায়নি,,,
210,চেঁচানো,চেঁচাইনি,চেঁচাওনি,চেঁচাসনি,চেঁচাননি,চেঁচায়নি,,,
211,চেনা,চেনিনি,চেনোনি,চেনিসনি,চেনেননি,চেনেনি,,,
,চেনানো,চেনাইনি,চেনাওনি,চেনাসনি,চেনাননি,চেনানেনি,,,
212,চড়া,চড়িনি,চড়োনি,চড়িসনি,চড়েননি,চড়েনি,,,
213,চড়ানো,চড়াইনি,চড়াওনি,চড়াসনি,চড়াননি,চড়ায়নি,,,
214,ছটকা,ছটকিনি,ছটকোনি,ছটকিসনি,ছটকেননি,ছটকেনি,,,
215,ছটকানো,ছটকাইনি,ছটকাওনি,ছটকাসনি,ছটকাননি,ছটকায়নি,,,
216,ছড়ানো,ছড়াইনি,ছড়াওনি,ছড়াসনি,ছড়াননি,ছড়ায়নি,,,
217,ছাঁটা,ছাঁটিনি,ছাঁটোনি,ছাঁটিসনি,ছাঁটেননি,ছাঁটেনি,,,
,ছাঁটানো,ছাঁটাইনি,ছাঁটাওনি,ছাঁটাসনি,ছাঁটাননি,ছাঁটায়নি,,,
218,ছাকা,ছাকিনি,ছাকোনি,ছাকিসনি,ছাকেননি,ছাকেনি,,,
219,ছাকানো,ছাকাইনি,ছাকাওনি,ছাকাসনি,ছাকাননি,ছাকায়নি,,,
220,ছাড়া,ছাড়িনি,ছাড়োনি,ছাড়িসনি,ছাড়েননি,ছাড়েনি,,,
221,ছাড়ানো,ছাড়াইনি,ছাড়াওনি,ছাড়াসনি,ছাড়াননি,ছাড়ায়নি,,,
222,ছাপা,ছাপিনি,ছাপোনি,ছাপিসনি,ছাপেননি,ছাপেনি,,,
223,ছাপানো,ছাপাইনি,ছাপাওনি,ছাপাসনি,ছাপাননি,ছাপায়নি,,,
224,ছােটা,ছুটিনি,ছােটোনি,ছুটিসনি,ছােটেননি,ছােটেনি,,,
225,ছােটানো,ছােটাইনি,ছােটাওনি,ছােটাসনি,ছােটাননি,ছােটায়নি,,,
226,ছােপানো,,,,,,,,
227,ছিটা,ছিটিনি,ছিটোনি,ছিটিসনি,ছিটেননি,ছিটেনি,,,
228,ছিটানো,ছিটাইনি,ছিটাওনি,ছিটাসনি,ছিটাননি,ছিটায়নি,,,
229,ছিনা,,,,,,,,
230,ছিনানো,,,,,,,,
231,ছিড়া,ছিড়িনি,ছিড়োনি,ছিড়িসনি,ছিড়েননি,ছিড়েনি,,,
232,ছিড়ানো,ছিড়াইনি,ছিড়াওনি,ছিড়াসনি,ছিড়াননি,ছিড়ায়নি,,,
233,ছুটা,ছুটিনি,ছুটোনি,ছুটিসনি,ছুটেননি,ছুটেনি,,,
234,ছুটানো,ছুটাইনি,ছুটাওনি,ছুটাসনি,ছুটাননি,ছুটায়নি,,,
235,ছুড়া,ছুড়িনি,ছুড়োনি,ছুড়িসনি,ছুড়েননি,ছুড়েনি,,,
236,ছেঁকা,ছেঁকিনি,ছেঁকোনি,ছেঁকিসনি,ছেঁকেননি,ছেঁকেনি,,,
237,ছেঁকানো,ছেঁকাইনি,ছেঁকাওনি,ছেঁকাসনি,ছেঁকাননি,ছেঁকায়নি,,,
238,ছেঁড়া,ছিঁড়িনি,ছেঁড়োনি,ছিঁড়িসনি,ছেঁড়েননি,ছেঁড়েনি,,,
,ছেঁড়ানো,ছেঁড়াইনি,ছেঁড়াওনি,ছেঁড়াসনি,ছেঁড়াননি,ছেঁড়ায়নি,,,
239,ছোঁয়া,ছুঁইনি,ছোঁওনি,ছুঁসনি,ছোঁননি,ছোঁয়নি,,,
,ছোঁয়নো,ছোঁয়াইনি,ছোঁয়াওনি,ছোঁয়াসনি,ছোঁয়াননি,ছোঁয়ায়নি,,,
240,ছোওয়া,ছুইনি,ছোওনি,ছুসনি,ছোননি,ছোয়নি,,,
241,ছোওয়ানো,ছোওয়াইনি,ছোওয়াওনি,ছোওয়াসনি,ছোওয়াননি,ছোওয়ায়নি,,,
242,ছ্যাঁচড়ানো,ছ্যাঁচড়াইনি,ছ্যাঁচড়াওনি,ছ্যাঁচড়াসনি,ছ্যাঁচড়ানো,ছ্যাঁচড়ানো,,,
243,জড়ানো,জড়াইনি,জড়াওনি,জড়াসনি,জড়ানো,জড়ানো,,,
244,জপা,জপিনি,জপোনি,জপিসনি,জপেননি,জপেনি,,,
245,জমানো,জমাইনি,জমাওনি,জমাসনি,জমাননি,জমানো,,,
246,জড়া,,,,,,,,
247,জড়ানো,জড়াইনি,জড়াওনি,জড়াসনি,জড়াননি,জড়ায়নি,,,
248,জাগা,জাগিনি,জাগোনি,জাগিসনি,জাগেননি,জাগেনি,,,
249,জাগানো,জাগাইনি,জাগাওনি,জাগাসনি,জাগাননি,জাগায়নি,,,
250,জানা,জানিনি,জানোনি,জানিসনি,জানেননি,জানেনি,,,
251,জানানো,জানাইনি,জানাওনি,জানাসনি,জানাননি,জানায়নি,,,
252,জালা,জালিনি,জালোনি,জালিসনি,জালাননি,জালেনি,,,
253,জালানো,জালাইনি,জালাওনি,জালাসনি,জালাননি,জালায়নি,,,
254,জিতা,জিতিনি,জিতোনি,জিতিসনি,জিতেননি,জিতেনি,,,
255,জিতানো,জিতাইনি,জিতাওনি,জিতাসনি,জিতাননি,জিতায়নি,,,
256,জিরা,,,,,,,,
257,জিরানো,জিরাইনি,জিরাওনি,জিরাসনি,জিরাননি,জিরায়নি,,,
258,জুটা,জুটিনি,জুটোনি,জুটিসনি,জুটেননি,জুটেনি,,,
259,জুটানো,জুটাইনি,জুটাওনি,জুটাসনি,জুটাননি,জুটায়নি,,,
260,জুড়া,জুড়িনি,জুড়োনি,জুড়িসনি,জুড়েননি,জুড়েনি,,,
261,জুড়ানো,জুড়াইনি,জুড়াওনি,জুড়াসনি,জুড়াননি,জুড়ায়নি,,,
262,জেতা,জেতিনি,জেতোনি,জিতিসনি,জেতেননি,জেতেনি,,,
263,জেতানো,জেতাইনি,জেতাওনি,জেতাসনি,জেতাননি,জেতায়নি,,,
264,জোগানো,জোগাইনি,জোগাওনি,জোগাসনি,জোগাননি,জোগায়নি,,,
265,জোটা,,,,,জোটেনি,,,
266,জোটানো,জোটাইনি,জোটাওনি,জোটাসনি,জোটাননি,জোটায়নি,,,
267,জোড়া,জোড়াইনি,জোড়াওনি,জোড়াসনি,জোড়াননি,জোড়ায়নি,,,
268,জ্বালানো,জ্বালাইনি,জ্বালাওনি,জ্বালাসনি,জ্বালাননি,জ্বালায়নি,,,
,জ্বালা,জ্বালিনি,জ্বালোনি,জ্বালিসনি,জ্বালেননি,জ্বালেনি,,,
269,জড়া,,,,,,,,
270,জড়ানো,জড়াইনি,জড়াওনি,জড়াসনি,জড়াননি,জড়ায়নি,,,
271,ঝরা,ঝরিনি,ঝরোনি,ঝরিসনি,ঝরেননি,ঝরেনি,,,
